song,artist,year,meter,cluster15
IDon'tmind,JamesBrown,1961,6/8,14
You'vegotaFriend,RobertaFlackandDonnyHathaway,1971,4/4,11
TheRose,BetteMidler,1980,4/4,7
AnInnocentMan,BillyJoel,1984,4/4,13
Lookin'forLove,JohnnyLee,1980,4/4,10
LastChild,Aerosmith,1976,4/4,3
SheBop,CyndiLauper,1984,4/4,5
KissOnMyList,Hall&Oates,1981,4/4,5
Here'sSomeLove,TanyaTucker,1976,4/4,13
JustCan'tWait,TheJ.GeilsBand,1980,4/4,7
NeverMyLove,The5thDimension,1971,4/4,12
AndSheWas,TalkingHeads,1985,4/4,3
Chicago,GrahamNash,1971,4/4,5
SwingTalkin'Guy,Chiffons,1966,4/4,4
Rock'n'RollFantasy,BadCompany,1979,4/4,5
TheJoker,SteveMillerBand,1973,4/4,10
IndianaWantsMe,RDeanTayloy,1970,4/4,13
CrazyOnYou,Heart,1978,4/4,5
YvonneElliman,IfICan'tHaveYou,1978,4/4,12
JimiHendrix,Freedom,1971,4/4,3
FoggyMountainBreakdown,Flatt&Scruggs,1968,4/4,14
It'sOnlyRockandRoll(ButILikeIt),RollingStones,1974,4/4,3
ThePower,Snap,1990,4/4,7
AbsolutelyRight,FiveManElectricalBand,1971,4/4,9
TwoHearts,PhilCollins,1989,4/4,2
SomeLikeItHot,ThePowerStation,1985,4/4,5
I'llTakeYouThere,TheStapleSingers,1972,4/4,13
People,BarbaraStreisand,1964,4/4,11
LoveMeDo,Beatles,1964,4/4,3
Carrie,CliffRichard,1980,4/4,5
OverTheHillsandFarAway,LedZeppelin,1973,4/4,8
LastKiss,J.FrankWilson&TheCavaliers,1964,4/4,6
SmokingGun,TheRobertCrayBand,1987,4/4,3
ILoveYouSo,BobbiMartin,1965,4/4,11
IsThatAllThereIs,PeggyLee,1969,3/4,4
IPutASpellOnYou,CreedenceClearwaterRevival,1968,12/8,13
HurtsToBeInLove,GinoVanelli,1985,4/4,5
CrySoftlyLonelyOne,RoyOrbison,1967,4/4,9
DoYouLoveMe,TheContours,1988,4/4,13
BongoStomp,LittleJoey&TheFlips,1962,4/4,6
BlackCars,GinoVannelli,1985,4/4,3
HotFunInTheSummertime,Sly&TheFamilyStone,1969,4/4,7
ParadisebytheDashboardLight,Meatloaf,1978,4/4,6
GetTogether,TheYoungbloods,1969,4/4,5
NowhereToRun,MarthaReeves&TheVandellas,1965,4/4,12
Drivin'Wheel,Foghat,1977,4/4,12
Reminiscing,LittleRiverBand,1978,4/4,11
DialMyHeart,TheBoys,1988,4/4,7
ColdSweat-Part1,JamesBrown,1967,4/4,5
YouCanCallMeAl,PaulSimon,1986,4/4,7
RedRedWine,UB40,1984,4/4,13
IJustCan'tStopLovingYou,MichaelJackson,1987,4/4,7
SpaceOddity,DavidBowie,1973,4/4,1
BuyForMeTheRain,NittyGrittyDirtBand,1967,4/4,5
FireAndIce,PatBenetar,1981,4/4,5
True,SpandauBallet,1983,4/4,1
ShocktheMonkey,PeterGabriel,1982,4/4,5
WildHorses,RollingStones,1971,4/4,10
MotownPhilly,BoyzIIMen,1991,4/4,13
ATrickOfTheNight,Bananarama,1987,4/4,8
MaggieMay,RodStewart,1971,4/4,2
ALessoninLeavin,DottieWest,1980,4/4,14
ForTheGoodTimes,RayPrice,1970,4/4,9
WeTwo,LittleRiverBand,1983,4/4,10
TheSpiritofRadio,Rush,1980,4/4,7
If,Bread,1971,4/4,4
SweetHomeAlabama,LynyrdSkynyrd,1974,4/4,10
Mabelleamie,Theteeset,1970,4/4,0
EightMilesHigh,TheByrds,1966,4/4,5
LetterFullofTears,GladysKnight&ThePips,1962,4/4,6
SunshineofYourLove,Cream,1968,4/4,12
SweetLittleRockN'Roll,ChuckBerry,1958,4/4,10
LetItRain,EricClapton,1972,4/4,12
StandByMe,"DavidRuffin,JimmyRuffin",1970,4/4,6
BeMyBaby,TheRonettes,1963,4/4,11
HaveYouEverLovedSomebody,FreddieJackson,1987,4/4,7
SilentNight,BingCrosby,1960,3/4,4
Promises,EricClapton,1978,4/4,4
WillieNelson,BlueEyesCryin',1975,4/4,4
StoptheWedding,EttaJames,1962,12/8,13
Brandy,LookingGlass,1972,4/4,12
TumblingDice,TheRollingStones,1972,4/4,7
Iwouldn'tHaveMisseditForTheWorld,RonnieMilsap,1981,4/4,11
DetroitCity,BobbyBare,1963,4/4,4
IHadTooMuchToDream,ElectricPrunes,1967,4/4,3
TheWayYouDoTheThingsYouDo,UB40,1990,4/4,10
LaGrange,ZZTop,1974,4/4,3
RunaroundSue,Dion,1961,4/4,6
Wheels,TheString-A-Longs,1961,4/4,7
SpiritsInTheMaterialWorld,ThePolice,1982,4/4,5
JustWhenINeededYouMost,RandyVanwarmer,1979,4/4,4
What'sLoveGotToDoWithIt,TinaTurner,1984,4/4,5
WalkRightBack,TheEverlyBrothers,1961,4/4,7
LonelyEyes,RobertJohn,1980,4/4,10
ForeverMan,EricClapton,1985,4/4,5
SleepWalk,Santo&Johnny,1959,6/8,6
SomethingAboutYou,Level42,1986,4/4,5
LittleSister,ElvisPresley,1961,4/4,4
Ifyouneedme,SolomonBurke,1963,4/4,4
SweetNothin's,BrendaLee,1960,4/4,10
NoCharge,MelbaMontgomery,1974,3/4,4
TheAnimals,SanFranciscanNights,1967,4/4,3
DonGibson,SeaofHeartbreak,1961,4/4,6
GoldenEarring,TwilightZone,1983,4/4,13
I'veGotLoveOnMyMind,NathalieCole,1977,4/4,14
YouCan'tJudgeABookByTheCover,BoDiddley,1962,4/4,10
GordonLightfoot,Beautiful,1972,4/4,3
NakedEyes,AlwaysSomethingTheretoRemindMe,1983,4/4,1
Annie'sSong,JohnDenver,1974,3/4,11
Chiquitita,ABBA,1979,4/4,10
AlwaysonMyMind,PetShopBoys,1988,4/4,7
JustADream,JimmyClanton,1958,12/8,4
HelpIsOnTheWay,LittleRiverBand,1977,4/4,10
IWantYouToWantMe,CheapTrick,1979,4/4,12
NeverCanSayGoodbye,GloriaGaynor,1975,4/4,9
PeopleGotToBeFree,TheRascals,1968,4/4,4
Unforgettable,DinahWashington,1959,12/8,3
ShadowDancing,AndyGibb,1978,4/4,13
WillieAndTheHandJive,EricClapton,1974,4/4,4
Schoool'sout,AliceCooper,1972,4/4,3
LoveMeWarmAndTender,PaulAnka,1962,4/4,2
AlongComesAWoman,Chicago,1985,4/4,7
CouldIHaveThisDance,AnneMurray,1980,3/4,9
LoveTrain,TheO'Jays,1973,4/4,2
"WonderfulWorld,BeautifulPeople",JimmyCliff,1969,4/4,4
IWantToTakeYouHigher,Ike&TinaTurner,1970,4/4,3
Pressure,BillyJoel,1983,4/4,6
MaybeI'mAmazed,PaulMcCartney,1977,4/4,12
BackintheHighLifeAgain,SteveWinwood,1987,4/4,4
AnotherRainyDayinNewYorkCity,Chicago,1976,4/4,11
AlreadyGone,TheEagles,1974,4/4,10
She'sALady,TomJones,1971,4/4,2
It'sGonnaWorkOutFine,Ike&TinaTurner,1961,4/4,8
Comin'HomeBaby,MelTorme,1962,4/4,5
TheRightTime,RayCharles,1959,4/4,10
MagicMan,Heart,1976,4/4,5
Doyourthing,IsaacHayes,1972,4/4,3
Jessie'sGirl,RickSpringfield,1981,4/4,7
Fernando,Abba,1976,4/4,0
Ramblin'Rose,NatKingCole,1962,4/4,9
FeelLikeMakingLove,RobertaFlack,1974,4/4,0
ForOl'TimesSake,ElvisPresley,1973,4/4,9
WannaBeStartin'Somethin',MichaelJackson,1983,4/4,2
Galveston,GlenCampbell,1969,4/4,9
PromisesInTheDark,PatBenatar,1981,4/4,3
StillCruisin,TheBeachBoys,1989,4/4,14
HonkyTonkWomen,TheRollingStones,1969,4/4,9
"KnowingMe,KnowingYou",ABBA,1977,4/4,13
LifeIsACarnival,TheBand,1971,4/4,3
BackHomeAgain,JohnDenver,1974,4/4,13
"Tonight,Tonight,Tonight",Genesis,1987,4/4,5
YouDecoratedMyLife,KennyRogers,1980,4/4,10
SailOnSailor,TheBeachBoys,1975,4/4,5
JustTheWayYouAre,BillyJoel,1978,4/4,4
WhiteChristmas,BingCrosby,1962,4/4,4
BecauseILoveYou,StevieB,1991,4/4,11
"HaveYouSeenYourMother,Baby,StandingInTheShadow?",TheRollingStones,1966,4/4,4
ItAmazesMe,JohnDenver,1978,4/4,7
RhinestoneCowboy,GlenCampbell,1975,4/4,10
I'dLoveToChangeTheWorld,TenYearsAfter,1971,4/4,8
OldTimeRock&Roll,BobSeger,1979,4/4,13
HandyMan,JimmyJones,1960,4/4,6
ThemeFromElectricSurfboard,BrotherJackMcDuff,1969,4/4,8
LoveCameToMe,Dion,1962,4/4,6
SanctifyYourself,SimpleMinds,1986,4/4,3
Smokin'InTheBoysRoom,Brownsvillestation,1973,4/4,10
ShapeOfThingsToCome,MaxFrost&TheTroopers,1968,4/4,8
DontTreatMeBad,Firehouse,1991,4/4,7
BornToBeAlive,PatrickHernandez,1979,4/4,5
In-A-Gadda-Da-Vida,IronButterfly,1968,4/4,14
Dandelion,RollingStones,1967,4/4,14
(LastNight)IDidn'tGetToSleepAtAll,The5thDimension,1972,4/4,6
WorriedGuy,JohnnyTillotson,1964,4/4,6
TimeForMeToFly,REOSpeedwagon,1980,4/4,10
Money,PinkFloyd,1973,7/4,3
InMyRoom,TheBeachBoys,1963,4/4,0
AddictedtoLove,RobertPalmer,1986,4/4,12
Patches,ClarenceCarter,1970,4/4,10
WaitingOnAFriend,RollingStones,1982,4/4,6
ItTakesTwo,MarvinGaye&KimWeston,1967,4/4,5
There'stheGirl,Heart,1988,4/4,5
GottaServeSomebody,BobDylan,1979,4/4,10
TheseBootsAreMadeForWalkin',NancySinatra,1966,4/4,3
AsUsual,BrendaLee,1964,4/4,9
GuitarMan,ElvisPresley,1968,4/4,4
LongDarkRoad,TheHollies,1972,4/4,4
EveryLittleThingSheDoesIsMagic,ThePolice,1981,4/4,13
Mr.Bojangles,JerryJeffWalker,1968,3/4,11
Lyin'Eyes,Eagles,1975,4/4,9
That'stheWayIFeelAboutCha,BobbyWomack,1971,4/4,9
HereIGoAgain,Whitesnake,1987,4/4,10
DoYouWantToKnowASecret,TheBeatles,1964,4/4,9
BreakItToMeGently,JuiceNewton,1982,12/8,10
TheHumptyDance,DigitalUnderground,1990,4/4,3
InTheNavy,VillagePeople,1979,4/4,9
Cruisin',SmokeyRobinson,1980,4/4,2
YouCan'tRollerSkateInABuffaloHerd,RogerMiller,1966,4/4,9
AllThroughTheNight,CyndiLauper,1984,4/4,14
TheOtherGuy,LittleRiverBand,1983,4/4,10
DaydreamBeliever,AnneMurray,1980,4/4,0
IGotYou(IFeelGood),JamesBrown,1965,4/4,10
ComeAndGetYourLove,Redbone,1974,4/4,0
DreamPolice,CheapTrick,1979,4/4,10
IWantYou,MarvinGaye,1976,4/4,13
FloyJoy,TheSupremes,1972,4/4,14
BirdDog,TheEverlyBrothers,1958,4/4,4
WhenWillIBeLoved,LindaRonstadt,1975,4/4,13
LetMeGetToKnowYou,PaulAnka,1974,4/4,13
MyBoy,ElvisPresley,1975,4/4,11
WhereDoYouWannaGo,TheFifthDimension,1967,4/4,3
JungleBoogie,KoolandtheGang,1974,4/4,3
SomebodysWatchingMe,Rockwell,1984,4/4,5
YourLoveHasLiftedMeHigher,RitaCoolidge,1977,4/4,2
ThroughTheYears,KennyRogers,1981,4/4,11
DeeperShadeOfSoul,UrbanDanceSquad,1991,4/4,10
Easy,TheCommodores,1977,4/4,12
IfIWereYourWoman,GladysNight&ThePips,1971,4/4,3
DooDooDooDooDoo,TheRollingStones,1974,4/4,3
LivingItDown,FreddyFender,1976,4/4,9
Sunflower,GlenCampbell,1977,4/4,4
TheBest,TinaTurner,1989,4/4,6
RollOnDownTheHighway,Bachman-TurnerOverdrive,1975,4/4,5
GoodVibrations,MarkyMark&TheFunkyBunch,1991,4/4,2
ICan'tDrive55,SammyHagar,1984,4/4,8
PhiladelphiaFreedom,EltonJohn,1975,4/4,4
"IRise,IFall",JohnnyTillotson,1964,4/4,6
DumDum,BrendaLee,1961,4/4,4
Superman,DonnaFargo,1973,4/4,10
JustLikeHeaven,TheCure,1988,4/4,7
ThisSong,GeorgeHarrison,1977,4/4,11
EvilWays,Santana,1970,4/4,4
Feelin'StrongerEveryDay,Chicago,1973,4/4,12
UndercoverAngel,AlanO'Day,1977,4/4,4
KindOfADrag,TheBuckinghams,1967,4/4,9
KissesOnTheWind,NenehCherry,1989,4/4,5
LosingYou,BrendaLee,1963,12/8,0
ScarletFever,KennyRogers,1983,4/4,13
ICan'tStandTheRain,AnnPeebles,1973,4/4,9
BestThingThatEverHappenedToMe,GladysKnight&ThePips,1974,4/4,0
HocusPocus,Focus,1973,4/4,9
WhereTheStreetsHaveNoNames,PetShopBoys,1991,4/4,5
SunshineSuperman,Donovan,1966,4/4,10
Ifyoulovesomebodysetthemfree,Sting,1985,4/4,3
HoldOn,WilsonPhillips,1990,4/4,7
IReallyDon'tWantToKnow,ElvisPresley,1970,3/4,6
TimeIsOnMySide,RollingStones,1964,12/8,9
Tenderness,GeneralPublic,1984,4/4,10
YoungHeartsRunFree,CandiStaton,1976,4/4,4
It'sYourThing,TheIsleyBrothers,1969,4/4,3
Misunderstanding,Genesis,1980,4/4,2
HereComeThoseTearsAgain,JacksonBrowne,1977,4/4,6
Fever,PeggyLee,1958,4/4,7
KozmicBlues,JanisJoplin,1969,6/8,4
OneNight,ElvisPresley,1959,12/8,4
WomanToWoman,ShirleyBrown,1975,4/4,14
TheGoonies`RGoodEnough,CyndiLauper,1985,4/4,6
INeverLovedAMan,ArethaFranklin,1967,3/4,4
He'sARebel,TheCrystals,1962,4/4,1
Amie,PurePrairieLeague,1975,4/4,12
Jimmy'sGirl,JohnnyTillotson,1961,4/4,2
SundayMorningSunshine,HarryChapin,1972,4/4,12
Someone,TheRembrandts,1991,4/4,10
GoldenYears,DavidBowie,1976,4/4,5
"(You'reSoSquare)Baby,IDon'tCare",JoniMitchell,1982,4/4,4
ChainOfFools,ArethaFranklin,1967,4/4,3
BlowAway,GeorgeHarrison,1979,4/4,14
PinballWizard,TheWho,1969,4/4,2
SeeSeeRider,LaVernBaker,1963,4/4,10
ImGoinDown,BruceSpringsteen,1985,4/4,7
BluebirdsOverTheMountain,TheBeachBoys,1969,4/4,9
PutYourHandInTheHand,Ocean,1971,4/4,0
IWantaNewDrug,HueyLewis&TheNews,1984,4/4,12
OneBadApple,TheOsmonds,1971,4/4,9
IfICouldReachYou,The5thDimension,1972,4/4,3
WhereOrWhen,Dion,1960,4/4,6
RubyBaby,Dion,1963,4/4,10
WorldInMyEyes,DepecheMode,1990,4/4,3
BetterThings,TheKinks,1981,4/4,0
OldDays,Chicago,1975,4/4,2
Jump(forMyLove),ThePointerSisters,1984,4/4,5
GotItMade,CrosbyStillsandNash,1989,4/4,12
Don'tSayYouLoveMe,BillySquier,1989,4/4,3
WalkOnTheWildSide(Part1),JimmySmith,1962,12/8,4
WithaLittleLuck,PaulMcCartney,1978,4/4,3
NotFadeAway,RollingStones,1964,4/4,3
OnBroadway,TheDrifters,1963,4/4,3
SeasonsOfTheHeart,JohnDenver,1982,4/4,13
FleshForFantasy,BillyIdol,1984,4/4,12
GiveToLive,SammyHagar,1987,4/4,6
LittleBitO'Soul,TheMusicExplosion,1967,4/4,13
Ain'tTooProudToBeg,TheTemptations,1966,4/4,3
InYourSoul,CoreyHart,1988,4/4,10
SweetMusicMan,KennyRogers,1978,4/4,9
ComeTogether,TheBeatles,1969,4/4,7
SilverThreadsAndGoldenNeedles,TheCowsills,1969,4/4,4
IAdoreMiAmor,ColorMeBadd,1991,4/4,8
Carrie-Anne,TheHollies,1967,4/4,4
OneLastKiss,J.GeilsBand,1978,4/4,8
Wendy,TheBeachBoys,1964,4/4,11
GiveItToMeBaby,RickJames,1981,4/4,5
"Baby,BabyDon'tCry",TheMiracles,1969,4/4,12
I'mInLove,"Evelyn""Champagne""King",1981,4/4,9
RightPlaceWrongTime,Dr.John,1973,4/4,3
HeartinHand,BrendaLee,1962,4/4,0
RichGirl,HallandOates,1977,4/4,11
MyThang,JamesBrown,1974,4/4,8
Don'tstandsoclosetome,Police,1981,4/4,3
IDon'tNeedYou,KennyRogers,1981,4/4,9
CityInTheSky,TheStapleSingers,1974,4/4,10
TheBattleOfNewOrleans,JohnnyHorton,1959,4/4,13
LastDance,DonnaSummer,1978,4/4,11
I'veBeenLovingYouTooLong(ToStopNow),OtisRedding,1965,6/8,1
AftertheLovin',EngelbertHumperdinck,1977,6/8,11
Still,Commodores,1980,4/4,13
HowBlueCanYouGet,B.B.King,1964,4/4,4
OhMyAngel,BerthaTillman,1962,6/8,2
GoingToAGo-Go,TheRollingStones,1982,4/4,3
FoolThatIAm,EttaJames,1961,4/4,9
ThoseLazy-Hazy-CrazyDaysOfSummer,NatKingCole,1963,4/4,11
YearsAgo,GeorgeHarrison,1981,4/4,0
Suite:JudyBlueEyes,"Crosby,Stills&Nash",1969,4/4,10
PrivateDancer,TinaTurner,1985,4/4,14
TrampledUnderFoot,LedZeppelin,1975,4/4,8
LoveComesQuickly,PetShopBoys,1986,4/4,5
CrystalBluePersuasion,TommyJames,1969,4/4,2
ThisHouse,TracieSpencer,1990,4/4,5
RunningUpThatHill,KateBush,1985,4/4,5
BabyYou'reRight,JamesBrown,1961,4/4,13
StopThisGame,CheapTrick,1980,4/4,13
WithYouI'mBornAgain,BillyPreston,1979,3/4,9
WakeMeUpBeforeYouGo-Go,Wham!,1984,4/4,2
IfICanDream,ElvisPresley,1968,12/8,6
RedneckFriend,JacksonBrowne,1973,4/4,6
DiscoInferno,TheTrammps,1977,4/4,13
AlmostbyBeingInLove,MichaelJohnson,1978,4/4,5
DoubleShot(OfMyBaby'sLove),Swingin'Medallions,1966,4/4,6
ShakeYourGrooveThing,PeachesandHerb,1978,4/4,2
Maniac,MichaelSembello,1983,4/4,5
WalkRightIn,TheMoments,1963,4/4,0
Surrender,CheapTrick,1978,4/4,3
BabyI'mBurnin',DollyParton,1979,4/4,3
Cecilia,Simon&Garfunkel,1970,4/4,10
Boulevard,JacksonBrowne,1980,4/4,10
Judy,ElvisPresley,1967,4/4,9
TheLook,Roxette,1989,4/4,5
DanceAway,Roxy,1979,4/4,6
SixDaysOnTheRoad,DaveDudley,1963,4/4,7
QuarterToThree,GaryU.S.Bonds,1961,4/4,6
"TarzanBoy(From""TeenageMutantNinjaTurtlesIII"")",Baltimora,1986,4/4,6
"OhMe,OhMy(DreamsInMyArms)",AlGreen,1975,4/4,3
Let'sworkTogether,CannedHeat,1970,4/4,10
GivingYoutheBestThatIGot,AnitaBaker,1989,4/4,7
HeartFullofSoul,TheYardbirds,1965,4/4,10
IFoundALove,TheFalcons,1962,12/8,3
IDon'tBlameYouAtAll,TheMiracles,1971,4/4,10
Amor,BenE.King,1961,4/4,9
TooWeakToFight,ClarenceCarter,1968,4/4,10
UnchainedMelody,TheRighteousBrothers,1965,12/8,6
WeAreTheChampions,Queen,1978,4/4,6
SouthernCross,"Crosby,Stills&Nash",1982,4/4,12
Talktome,ChicoDeBarge,1987,4/4,14
TheLongRun,Eagles,1980,4/4,3
Allshewantsis,DuranDuran,1989,4/4,3
Situation,Yaz,1982,4/4,5
WishSomeoneWouldCare,IrmaThomas,1964,4/4,6
HeyStoopid,AliceCooper,1991,4/4,5
