song,artist,year,meter,cluster15,cluster6
IDon'tmind,JamesBrown,1961,6/8,2,3
You'vegotaFriend,RobertaFlackandDonnyHathaway,1971,4/4,8,0
TheRose,BetteMidler,1980,4/4,11,2
AnInnocentMan,BillyJoel,1984,4/4,11,2
Lookin'forLove,JohnnyLee,1980,4/4,13,1
LastChild,Aerosmith,1976,4/4,3,1
SheBop,CyndiLauper,1984,4/4,5,5
KissOnMyList,Hall&Oates,1981,4/4,5,5
Here'sSomeLove,TanyaTucker,1976,4/4,11,2
JustCan'tWait,TheJ.GeilsBand,1980,4/4,4,2
NeverMyLove,The5thDimension,1971,4/4,10,1
AndSheWas,TalkingHeads,1985,4/4,3,1
Chicago,GrahamNash,1971,4/4,5,5
SwingTalkin'Guy,Chiffons,1966,4/4,13,4
Rock'n'RollFantasy,BadCompany,1979,4/4,5,5
TheJoker,SteveMillerBand,1973,4/4,14,1
IndianaWantsMe,RDeanTayloy,1970,4/4,6,0
CrazyOnYou,Heart,1978,4/4,5,5
YvonneElliman,IfICan'tHaveYou,1978,4/4,10,1
JimiHendrix,Freedom,1971,4/4,3,5
FoggyMountainBreakdown,Flatt&Scruggs,1968,4/4,0,4
It'sOnlyRockandRoll(ButILikeIt),RollingStones,1974,4/4,3,1
ThePower,Snap,1990,4/4,4,4
AbsolutelyRight,FiveManElectricalBand,1971,4/4,1,3
TwoHearts,PhilCollins,1989,4/4,6,2
SomeLikeItHot,ThePowerStation,1985,4/4,5,5
I'llTakeYouThere,TheStapleSingers,1972,4/4,11,2
People,BarbaraStreisand,1964,4/4,7,0
LoveMeDo,Beatles,1964,4/4,3,1
Carrie,CliffRichard,1980,4/4,12,5
OverTheHillsandFarAway,LedZeppelin,1973,4/4,1,4
LastKiss,J.FrankWilson&TheCavaliers,1964,4/4,0,2
SmokingGun,TheRobertCrayBand,1987,4/4,3,1
ILoveYouSo,BobbiMartin,1965,4/4,8,0
IsThatAllThereIs,PeggyLee,1969,3/4,1,4
IPutASpellOnYou,CreedenceClearwaterRevival,1968,12/8,11,4
HurtsToBeInLove,GinoVanelli,1985,4/4,12,5
CrySoftlyLonelyOne,RoyOrbison,1967,4/4,2,3
DoYouLoveMe,TheContours,1988,4/4,11,2
BongoStomp,LittleJoey&TheFlips,1962,4/4,0,2
BlackCars,GinoVannelli,1985,4/4,3,1
HotFunInTheSummertime,Sly&TheFamilyStone,1969,4/4,4,3
ParadisebytheDashboardLight,Meatloaf,1978,4/4,13,2
GetTogether,TheYoungbloods,1969,4/4,11,2
NowhereToRun,MarthaReeves&TheVandellas,1965,4/4,10,1
Drivin'Wheel,Foghat,1977,4/4,10,1
Reminiscing,LittleRiverBand,1978,4/4,8,0
DialMyHeart,TheBoys,1988,4/4,4,3
ColdSweat-Part1,JamesBrown,1967,4/4,12,5
YouCanCallMeAl,PaulSimon,1986,4/4,4,2
RedRedWine,UB40,1984,4/4,11,1
IJustCan'tStopLovingYou,MichaelJackson,1987,4/4,4,4
SpaceOddity,DavidBowie,1973,4/4,12,5
BuyForMeTheRain,NittyGrittyDirtBand,1967,4/4,12,5
FireAndIce,PatBenetar,1981,4/4,5,5
True,SpandauBallet,1983,4/4,0,2
ShocktheMonkey,PeterGabriel,1982,4/4,12,5
WildHorses,RollingStones,1971,4/4,14,1
MotownPhilly,BoyzIIMen,1991,4/4,11,2
ATrickOfTheNight,Bananarama,1987,4/4,5,5
MaggieMay,RodStewart,1971,4/4,6,0
ALessoninLeavin,DottieWest,1980,4/4,13,2
ForTheGoodTimes,RayPrice,1970,4/4,2,3
WeTwo,LittleRiverBand,1983,4/4,14,1
TheSpiritofRadio,Rush,1980,4/4,13,4
If,Bread,1971,4/4,1,4
SweetHomeAlabama,LynyrdSkynyrd,1974,4/4,14,1
Mabelleamie,Theteeset,1970,4/4,7,0
EightMilesHigh,TheByrds,1966,4/4,6,5
LetterFullofTears,GladysKnight&ThePips,1962,4/4,13,2
SunshineofYourLove,Cream,1968,4/4,10,1
SweetLittleRockN'Roll,ChuckBerry,1958,4/4,14,1
LetItRain,EricClapton,1972,4/4,10,1
StandByMe,"DavidRuffin,JimmyRuffin",1970,4/4,0,2
BeMyBaby,TheRonettes,1963,4/4,9,0
HaveYouEverLovedSomebody,FreddieJackson,1987,4/4,14,5
SilentNight,BingCrosby,1960,3/4,1,4
Promises,EricClapton,1978,4/4,1,4
WillieNelson,BlueEyesCryin',1975,4/4,1,4
StoptheWedding,EttaJames,1962,12/8,11,1
Brandy,LookingGlass,1972,4/4,10,1
TumblingDice,TheRollingStones,1972,4/4,11,4
Iwouldn'tHaveMisseditForTheWorld,RonnieMilsap,1981,4/4,8,0
DetroitCity,BobbyBare,1963,4/4,1,4
IHadTooMuchToDream,ElectricPrunes,1967,4/4,3,1
TheWayYouDoTheThingsYouDo,UB40,1990,4/4,14,1
LaGrange,ZZTop,1974,4/4,3,5
RunaroundSue,Dion,1961,4/4,0,2
Wheels,TheString-A-Longs,1961,4/4,4,4
SpiritsInTheMaterialWorld,ThePolice,1982,4/4,12,5
JustWhenINeededYouMost,RandyVanwarmer,1979,4/4,1,4
What'sLoveGotToDoWithIt,TinaTurner,1984,4/4,12,5
WalkRightBack,TheEverlyBrothers,1961,4/4,4,5
LonelyEyes,RobertJohn,1980,4/4,13,1
ForeverMan,EricClapton,1985,4/4,5,5
SleepWalk,Santo&Johnny,1959,6/8,0,2
SomethingAboutYou,Level42,1986,4/4,6,5
LittleSister,ElvisPresley,1961,4/4,1,4
Ifyouneedme,SolomonBurke,1963,4/4,1,4
SweetNothin's,BrendaLee,1960,4/4,14,1
NoCharge,MelbaMontgomery,1974,3/4,1,4
TheAnimals,SanFranciscanNights,1967,4/4,3,5
DonGibson,SeaofHeartbreak,1961,4/4,0,2
GoldenEarring,TwilightZone,1983,4/4,6,4
I'veGotLoveOnMyMind,NathalieCole,1977,4/4,6,5
YouCan'tJudgeABookByTheCover,BoDiddley,1962,4/4,14,1
GordonLightfoot,Beautiful,1972,4/4,3,1
NakedEyes,AlwaysSomethingTheretoRemindMe,1983,4/4,6,1
Annie'sSong,JohnDenver,1974,3/4,9,2
Chiquitita,ABBA,1979,4/4,1,1
AlwaysonMyMind,PetShopBoys,1988,4/4,14,2
JustADream,JimmyClanton,1958,12/8,1,4
HelpIsOnTheWay,LittleRiverBand,1977,4/4,14,1
IWantYouToWantMe,CheapTrick,1979,4/4,10,1
NeverCanSayGoodbye,GloriaGaynor,1975,4/4,9,3
PeopleGotToBeFree,TheRascals,1968,4/4,13,4
Unforgettable,DinahWashington,1959,12/8,3,0
ShadowDancing,AndyGibb,1978,4/4,11,5
WillieAndTheHandJive,EricClapton,1974,4/4,1,4
Schoool'sout,AliceCooper,1972,4/4,3,0
LoveMeWarmAndTender,PaulAnka,1962,4/4,6,5
AlongComesAWoman,Chicago,1985,4/4,13,2
CouldIHaveThisDance,AnneMurray,1980,3/4,9,3
LoveTrain,TheO'Jays,1973,4/4,9,0
"WonderfulWorld,BeautifulPeople",JimmyCliff,1969,4/4,13,4
IWantToTakeYouHigher,Ike&TinaTurner,1970,4/4,3,5
Pressure,BillyJoel,1983,4/4,0,2
MaybeI'mAmazed,PaulMcCartney,1977,4/4,10,3
BackintheHighLifeAgain,SteveWinwood,1987,4/4,1,4
AnotherRainyDayinNewYorkCity,Chicago,1976,4/4,8,0
AlreadyGone,TheEagles,1974,4/4,14,1
She'sALady,TomJones,1971,4/4,6,0
It'sGonnaWorkOutFine,Ike&TinaTurner,1961,4/4,1,4
Comin'HomeBaby,MelTorme,1962,4/4,12,5
TheRightTime,RayCharles,1959,4/4,14,1
MagicMan,Heart,1976,4/4,12,5
Doyourthing,IsaacHayes,1972,4/4,3,5
Jessie'sGirl,RickSpringfield,1981,4/4,0,2
Fernando,Abba,1976,4/4,7,0
Ramblin'Rose,NatKingCole,1962,4/4,1,3
FeelLikeMakingLove,RobertaFlack,1974,4/4,7,0
ForOl'TimesSake,ElvisPresley,1973,4/4,1,3
WannaBeStartin'Somethin',MichaelJackson,1983,4/4,6,5
Galveston,GlenCampbell,1969,4/4,9,2
PromisesInTheDark,PatBenatar,1981,4/4,13,1
StillCruisin,TheBeachBoys,1989,4/4,2,3
HonkyTonkWomen,TheRollingStones,1969,4/4,1,3
"KnowingMe,KnowingYou",ABBA,1977,4/4,11,2
LifeIsACarnival,TheBand,1971,4/4,3,1
BackHomeAgain,JohnDenver,1974,4/4,11,2
"Tonight,Tonight,Tonight",Genesis,1987,4/4,5,5
YouDecoratedMyLife,KennyRogers,1980,4/4,13,1
SailOnSailor,TheBeachBoys,1975,4/4,5,5
JustTheWayYouAre,BillyJoel,1978,4/4,1,4
WhiteChristmas,BingCrosby,1962,4/4,1,3
BecauseILoveYou,StevieB,1991,4/4,8,4
"HaveYouSeenYourMother,Baby,StandingInTheShadow?",TheRollingStones,1966,4/4,1,4
ItAmazesMe,JohnDenver,1978,4/4,4,4
RhinestoneCowboy,GlenCampbell,1975,4/4,14,1
I'dLoveToChangeTheWorld,TenYearsAfter,1971,4/4,1,4
OldTimeRock&Roll,BobSeger,1979,4/4,11,2
HandyMan,JimmyJones,1960,4/4,0,2
ThemeFromElectricSurfboard,BrotherJackMcDuff,1969,4/4,3,5
LoveCameToMe,Dion,1962,4/4,0,2
SanctifyYourself,SimpleMinds,1986,4/4,3,1
Smokin'InTheBoysRoom,Brownsvillestation,1973,4/4,14,1
ShapeOfThingsToCome,MaxFrost&TheTroopers,1968,4/4,1,4
DontTreatMeBad,Firehouse,1991,4/4,9,2
BornToBeAlive,PatrickHernandez,1979,4/4,12,5
In-A-Gadda-Da-Vida,IronButterfly,1968,4/4,2,3
Dandelion,RollingStones,1967,4/4,6,5
(LastNight)IDidn'tGetToSleepAtAll,The5thDimension,1972,4/4,0,2
WorriedGuy,JohnnyTillotson,1964,4/4,0,2
TimeForMeToFly,REOSpeedwagon,1980,4/4,14,1
Money,PinkFloyd,1973,7/4,3,1
InMyRoom,TheBeachBoys,1963,4/4,7,0
AddictedtoLove,RobertPalmer,1986,4/4,10,1
Patches,ClarenceCarter,1970,4/4,9,0
WaitingOnAFriend,RollingStones,1982,4/4,0,2
ItTakesTwo,MarvinGaye&KimWeston,1967,4/4,12,5
There'stheGirl,Heart,1988,4/4,5,5
GottaServeSomebody,BobDylan,1979,4/4,14,1
TheseBootsAreMadeForWalkin',NancySinatra,1966,4/4,3,1
AsUsual,BrendaLee,1964,4/4,4,3
GuitarMan,ElvisPresley,1968,4/4,1,4
LongDarkRoad,TheHollies,1972,4/4,1,1
EveryLittleThingSheDoesIsMagic,ThePolice,1981,4/4,11,2
Mr.Bojangles,JerryJeffWalker,1968,3/4,9,0
Lyin'Eyes,Eagles,1975,4/4,1,3
That'stheWayIFeelAboutCha,BobbyWomack,1971,4/4,2,3
HereIGoAgain,Whitesnake,1987,4/4,14,0
DoYouWantToKnowASecret,TheBeatles,1964,4/4,9,3
BreakItToMeGently,JuiceNewton,1982,12/8,6,0
TheHumptyDance,DigitalUnderground,1990,4/4,3,5
InTheNavy,VillagePeople,1979,4/4,2,3
Cruisin',SmokeyRobinson,1980,4/4,6,4
YouCan'tRollerSkateInABuffaloHerd,RogerMiller,1966,4/4,1,3
AllThroughTheNight,CyndiLauper,1984,4/4,4,3
TheOtherGuy,LittleRiverBand,1983,4/4,14,1
DaydreamBeliever,AnneMurray,1980,4/4,7,0
IGotYou(IFeelGood),JamesBrown,1965,4/4,14,1
ComeAndGetYourLove,Redbone,1974,4/4,7,0
DreamPolice,CheapTrick,1979,4/4,14,1
IWantYou,MarvinGaye,1976,4/4,11,4
FloyJoy,TheSupremes,1972,4/4,6,2
BirdDog,TheEverlyBrothers,1958,4/4,1,4
WhenWillIBeLoved,LindaRonstadt,1975,4/4,11,2
LetMeGetToKnowYou,PaulAnka,1974,4/4,11,2
MyBoy,ElvisPresley,1975,4/4,4,3
WhereDoYouWannaGo,TheFifthDimension,1967,4/4,3,1
JungleBoogie,KoolandtheGang,1974,4/4,3,5
SomebodysWatchingMe,Rockwell,1984,4/4,5,5
YourLoveHasLiftedMeHigher,RitaCoolidge,1977,4/4,6,5
ThroughTheYears,KennyRogers,1981,4/4,8,0
DeeperShadeOfSoul,UrbanDanceSquad,1991,4/4,11,1
Easy,TheCommodores,1977,4/4,10,1
IfIWereYourWoman,GladysNight&ThePips,1971,4/4,3,1
DooDooDooDooDoo,TheRollingStones,1974,4/4,3,1
LivingItDown,FreddyFender,1976,4/4,1,3
Sunflower,GlenCampbell,1977,4/4,1,4
TheBest,TinaTurner,1989,4/4,0,2
RollOnDownTheHighway,Bachman-TurnerOverdrive,1975,4/4,5,5
GoodVibrations,MarkyMark&TheFunkyBunch,1991,4/4,12,5
ICan'tDrive55,SammyHagar,1984,4/4,14,1
PhiladelphiaFreedom,EltonJohn,1975,4/4,1,4
"IRise,IFall",JohnnyTillotson,1964,4/4,0,2
DumDum,BrendaLee,1961,4/4,1,4
Superman,DonnaFargo,1973,4/4,14,1
JustLikeHeaven,TheCure,1988,4/4,14,1
ThisSong,GeorgeHarrison,1977,4/4,8,0
EvilWays,Santana,1970,4/4,1,4
Feelin'StrongerEveryDay,Chicago,1973,4/4,2,3
UndercoverAngel,AlanO'Day,1977,4/4,1,4
KindOfADrag,TheBuckinghams,1967,4/4,2,3
KissesOnTheWind,NenehCherry,1989,4/4,12,5
LosingYou,BrendaLee,1963,12/8,7,0
ScarletFever,KennyRogers,1983,4/4,11,4
ICan'tStandTheRain,AnnPeebles,1973,4/4,1,3
BestThingThatEverHappenedToMe,GladysKnight&ThePips,1974,4/4,7,0
HocusPocus,Focus,1973,4/4,4,3
WhereTheStreetsHaveNoNames,PetShopBoys,1991,4/4,6,5
SunshineSuperman,Donovan,1966,4/4,14,1
Ifyoulovesomebodysetthemfree,Sting,1985,4/4,3,1
HoldOn,WilsonPhillips,1990,4/4,13,2
IReallyDon'tWantToKnow,ElvisPresley,1970,3/4,13,2
TimeIsOnMySide,RollingStones,1964,12/8,9,0
Tenderness,GeneralPublic,1984,4/4,14,1
YoungHeartsRunFree,CandiStaton,1976,4/4,1,4
It'sYourThing,TheIsleyBrothers,1969,4/4,3,1
Misunderstanding,Genesis,1980,4/4,2,3
HereComeThoseTearsAgain,JacksonBrowne,1977,4/4,0,2
Fever,PeggyLee,1958,4/4,4,4
KozmicBlues,JanisJoplin,1969,6/8,1,4
OneNight,ElvisPresley,1959,12/8,1,4
WomanToWoman,ShirleyBrown,1975,4/4,0,5
TheGoonies`RGoodEnough,CyndiLauper,1985,4/4,0,2
INeverLovedAMan,ArethaFranklin,1967,3/4,1,4
He'sARebel,TheCrystals,1962,4/4,9,3
Amie,PurePrairieLeague,1975,4/4,10,3
Jimmy'sGirl,JohnnyTillotson,1961,4/4,2,3
SundayMorningSunshine,HarryChapin,1972,4/4,2,3
Someone,TheRembrandts,1991,4/4,14,1
GoldenYears,DavidBowie,1976,4/4,12,5
"(You'reSoSquare)Baby,IDon'tCare",JoniMitchell,1982,4/4,1,4
ChainOfFools,ArethaFranklin,1967,4/4,3,5
BlowAway,GeorgeHarrison,1979,4/4,0,2
PinballWizard,TheWho,1969,4/4,6,3
SeeSeeRider,LaVernBaker,1963,4/4,14,1
ImGoinDown,BruceSpringsteen,1985,4/4,14,1
BluebirdsOverTheMountain,TheBeachBoys,1969,4/4,9,3
PutYourHandInTheHand,Ocean,1971,4/4,7,0
IWantaNewDrug,HueyLewis&TheNews,1984,4/4,10,1
OneBadApple,TheOsmonds,1971,4/4,9,3
IfICouldReachYou,The5thDimension,1972,4/4,13,1
WhereOrWhen,Dion,1960,4/4,0,2
RubyBaby,Dion,1963,4/4,14,1
WorldInMyEyes,DepecheMode,1990,4/4,3,1
BetterThings,TheKinks,1981,4/4,9,0
OldDays,Chicago,1975,4/4,2,3
Jump(forMyLove),ThePointerSisters,1984,4/4,12,5
GotItMade,CrosbyStillsandNash,1989,4/4,10,4
Don'tSayYouLoveMe,BillySquier,1989,4/4,3,1
WalkOnTheWildSide(Part1),JimmySmith,1962,12/8,1,4
WithaLittleLuck,PaulMcCartney,1978,4/4,3,1
NotFadeAway,RollingStones,1964,4/4,3,1
OnBroadway,TheDrifters,1963,4/4,3,1
SeasonsOfTheHeart,JohnDenver,1982,4/4,11,4
FleshForFantasy,BillyIdol,1984,4/4,12,5
GiveToLive,SammyHagar,1987,4/4,9,2
LittleBitO'Soul,TheMusicExplosion,1967,4/4,11,2
Ain'tTooProudToBeg,TheTemptations,1966,4/4,3,1
InYourSoul,CoreyHart,1988,4/4,6,1
SweetMusicMan,KennyRogers,1978,4/4,1,3
ComeTogether,TheBeatles,1969,4/4,14,1
SilverThreadsAndGoldenNeedles,TheCowsills,1969,4/4,14,1
IAdoreMiAmor,ColorMeBadd,1991,4/4,1,4
Carrie-Anne,TheHollies,1967,4/4,1,4
OneLastKiss,J.GeilsBand,1978,4/4,5,5
Wendy,TheBeachBoys,1964,4/4,8,0
GiveItToMeBaby,RickJames,1981,4/4,12,5
"Baby,BabyDon'tCry",TheMiracles,1969,4/4,10,1
I'mInLove,"Evelyn""Champagne""King",1981,4/4,2,3
RightPlaceWrongTime,Dr.John,1973,4/4,3,1
HeartinHand,BrendaLee,1962,4/4,7,0
RichGirl,HallandOates,1977,4/4,8,4
MyThang,JamesBrown,1974,4/4,1,4
Don'tstandsoclosetome,Police,1981,4/4,3,5
IDon'tNeedYou,KennyRogers,1981,4/4,9,3
CityInTheSky,TheStapleSingers,1974,4/4,14,1
TheBattleOfNewOrleans,JohnnyHorton,1959,4/4,11,2
LastDance,DonnaSummer,1978,4/4,8,0
I'veBeenLovingYouTooLong(ToStopNow),OtisRedding,1965,6/8,4,4
AftertheLovin',EngelbertHumperdinck,1977,6/8,7,0
Still,Commodores,1980,4/4,11,2
HowBlueCanYouGet,B.B.King,1964,4/4,1,4
OhMyAngel,BerthaTillman,1962,6/8,6,5
GoingToAGo-Go,TheRollingStones,1982,4/4,3,5
FoolThatIAm,EttaJames,1961,4/4,2,3
ThoseLazy-Hazy-CrazyDaysOfSummer,NatKingCole,1963,4/4,8,0
YearsAgo,GeorgeHarrison,1981,4/4,7,0
Suite:JudyBlueEyes,"Crosby,Stills&Nash",1969,4/4,14,1
PrivateDancer,TinaTurner,1985,4/4,9,3
TrampledUnderFoot,LedZeppelin,1975,4/4,5,5
LoveComesQuickly,PetShopBoys,1986,4/4,5,5
CrystalBluePersuasion,TommyJames,1969,4/4,6,1
ThisHouse,TracieSpencer,1990,4/4,12,5
RunningUpThatHill,KateBush,1985,4/4,5,5
BabyYou'reRight,JamesBrown,1961,4/4,1,4
StopThisGame,CheapTrick,1980,4/4,11,2
WithYouI'mBornAgain,BillyPreston,1979,3/4,9,3
WakeMeUpBeforeYouGo-Go,Wham!,1984,4/4,6,4
IfICanDream,ElvisPresley,1968,12/8,0,2
RedneckFriend,JacksonBrowne,1973,4/4,0,2
DiscoInferno,TheTrammps,1977,4/4,1,4
AlmostbyBeingInLove,MichaelJohnson,1978,4/4,5,5
DoubleShot(OfMyBaby'sLove),Swingin'Medallions,1966,4/4,0,2
ShakeYourGrooveThing,PeachesandHerb,1978,4/4,6,3
Maniac,MichaelSembello,1983,4/4,5,5
WalkRightIn,TheMoments,1963,4/4,7,0
Surrender,CheapTrick,1978,4/4,12,5
BabyI'mBurnin',DollyParton,1979,4/4,3,1
Cecilia,Simon&Garfunkel,1970,4/4,14,1
Boulevard,JacksonBrowne,1980,4/4,14,1
Judy,ElvisPresley,1967,4/4,4,3
TheLook,Roxette,1989,4/4,12,5
DanceAway,Roxy,1979,4/4,0,2
SixDaysOnTheRoad,DaveDudley,1963,4/4,1,4
QuarterToThree,GaryU.S.Bonds,1961,4/4,0,2
"TarzanBoy(From""TeenageMutantNinjaTurtlesIII"")",Baltimora,1986,4/4,0,2
"OhMe,OhMy(DreamsInMyArms)",AlGreen,1975,4/4,3,1
Let'sworkTogether,CannedHeat,1970,4/4,14,1
GivingYoutheBestThatIGot,AnitaBaker,1989,4/4,13,2
HeartFullofSoul,TheYardbirds,1965,4/4,14,1
IFoundALove,TheFalcons,1962,12/8,3,1
IDon'tBlameYouAtAll,TheMiracles,1971,4/4,14,1
Amor,BenE.King,1961,4/4,4,3
TooWeakToFight,ClarenceCarter,1968,4/4,14,1
UnchainedMelody,TheRighteousBrothers,1965,12/8,0,2
WeAreTheChampions,Queen,1978,4/4,9,2
SouthernCross,"Crosby,Stills&Nash",1982,4/4,10,1
Talktome,ChicoDeBarge,1987,4/4,6,5
TheLongRun,Eagles,1980,4/4,3,1
Allshewantsis,DuranDuran,1989,4/4,3,5
Situation,Yaz,1982,4/4,12,5
WishSomeoneWouldCare,IrmaThomas,1964,4/4,0,2
HeyStoopid,AliceCooper,1991,4/4,5,5
