song,artist,year,meter,cluster15,cluster6
ICanHelp,BillySwan,1974,12/8,10,4
TheThrillIsGone,B.B.King,1970,4/4,1,4
ILove,TomDHall,1973,4/4,1,4
EverlastingLove,CarlCarlton,1974,4/4,6,0
HardenMyHeart,Quarterflash,1982,4/4,12,5
RocketRide,Kiss,1978,4/4,2,3
Iwanttotakeyouhigher,SlyAndTheFamilyStone,1969,4/4,4,4
HotChildintheCity,NickGilder,1978,4/4,11,4
Simon&Garfunkel,Mrs.Robinson,1968,4/4,0,2
HisLatestFlame,ElvisPresley,1961,4/4,0,2
EverybodyLovesSomebody,DeanMartin,1964,4/4,7,0
IfICouldBuildMyWholeWorldAroundYou,MarvinGaye&TammyTerrell,1967,4/4,3,1
TwistingtheNightAway,RodStewart,1987,4/4,0,2
GhostbustersTheme,RayParkerJr,1984,4/4,10,1
It'sOnlyMakeBelieve,GlenCampbell,1970,4/4,0,2
HigherGround,StevieWonder,1973,12/8,3,1
NickofTime,BonnieRaitt,1990,4/4,8,0
BeatIt,MichaelJackson,1983,4/4,12,5
IfYoureallyloveme,StevieWonder,1971,4/4,8,0
Maneater,DarylHall&JohnOates,1983,4/4,12,5
BrassMonkey,BeastieBoys,1987,4/4,3,5
LittleOldLadyFromPasadena,Jan&Dean,1964,4/4,1,4
HumanNature,MichaelJackson,1983,4/4,9,3
OutOfMyMind,JohnnyTillotson,1963,4/4,11,4
Think,JamesBrown,1973,4/4,1,4
ThePeopleInMe,TheMusicMachine,1967,4/4,11,2
(Sittin'On)TheDockOfTheBay,OtisRedding,1968,4/4,6,5
CaughtUpInTheRapture,AnitaBaker,1987,4/4,9,0
WhatHaveIDoneToDeserveThis?,PetShopBoys,1988,4/4,6,5
StonedLove,TheSupremes,1970,4/4,6,0
HelloDolly,LouisArmstrong,1964,4/4,7,0
It'sRainingMen,TheWeatherGirls,1983,4/4,11,2
TaintedLove,SoftCell,1982,4/4,3,1
Sunrise,EricCarmen,1976,4/4,7,0
YearsFromNow,Dr.Hook,1980,3/4,9,3
AskMe,ElvisPresley,1964,12/8,7,0
LookingForALove,TheJ.GeilsBand,1972,4/4,14,1
He'ssoshy,PointerSisters,1980,4/4,1,4
BigYellowTaxi,JoniMitchell,1975,4/4,3,1
SilentLucidity,Queensryche,1991,4/4,0,2
Heaven'sJustASinAway,TheKendalls,1977,4/4,1,3
BabyWorkout,JackieWilson,1963,4/4,14,1
SugarShack,TheFireballs,1963,4/4,3,1
WithALittleHelpFromMyFriends,JoeCocker,1968,4/4,10,3
Don'tKnockMyLove-Pt.1,WilsonPickett,1971,4/4,3,5
ChainedAndBound,OtisRedding,1964,4/4,1,4
WithOrWithoutYou,U2,1987,4/4,14,1
ThatGirl,StevieWonder,1982,4/4,1,3
NeedYouTonight,INXS,1988,4/4,1,4
OnTheRoadAgain,CannedHeat,1968,4/4,3,1
"TheAnaheim,Azusa&CucamongaSewingCircle,BookReviewAndTimingAssociation",Jan&Dean,1964,4/4,3,5
QueenOfHearts,JuiceNewton,1981,4/4,11,4
TellItLikeItIs,TheNevilleBrothers,1966,12/8,9,3
TooManyRivers,BrendaLee,1965,4/4,7,0
PeopleGetReady,JeffBeck,1985,4/4,7,3
Heartaches,Bachman-TurnerOverdrive,1979,4/4,10,1
DoesAnybodyReallyKnowWhatTimeItIs,Chicago,1970,4/4,1,5
WhiteWedding,BillyIdol,1983,4/4,10,1
BabyDon'tChangeYourMind,GladysKnight&ThePips,1977,4/4,14,1
LivingInThePast,JethroTull,1972,5/4,3,3
ThisShouldGoOnForever,RodBernard,1959,4/4,4,4
SaraSmile,DarylHall&JohnOates,1976,4/4,5,5
SomeDaysAreDiamonds(SomeDaysAreStone),JohnDenver,1981,4/4,7,0
Ko-KoJoe,JerryReed,1971,4/4,1,4
Lady(YouBringMeUp),Commodores,1981,4/4,12,5
RockyMountainHigh,JohnDenver,1972,4/4,11,2
WhereAreYou,DinahWashington,1962,4/4,8,0
MaybeTomorrow,Badfinger,1969,4/4,7,0
WouldItMakeAnyDifferenceToYou,EttaJames,1963,12/8,11,2
EightDaysAWeek,TheBeatles,1965,4/4,3,1
BreakingUpIsHardToDo,NeilSedaka,1976,4/4,7,0
PrettyInPink,PsychedelicFurs,1986,4/4,9,3
Lucille,KennyRogers,1977,3/4,9,3
IWill,DeanMartin,1965,4/4,4,4
Getaway,EarthWindandFire,1976,4/4,11,2
DoIDo,StevieWonder,1982,4/4,11,2
LivingDoll,CliffRichard,1959,4/4,2,3
LoveIsABattlefield,PatBenatar,1983,4/4,12,5
OneWayorAnother,Blondie,1979,4/4,13,2
ThatOldBlackMagic,LouisPrima&KeelySmith,1958,4/4,8,0
BabyCanIHoldYou,TracyChapman,1989,4/4,4,3
CryingTime,RayCharles,1965,4/4,9,3
DyerMaker,LedZepplin,1973,4/4,0,2
Levon,EltonJohn,1971,4/4,13,1
ComeMonday,JimmyBuffett,1974,4/4,13,2
WalkLikeAMan,GrandFunkRailroad,1973,4/4,10,1
TheNightChicagoDied,PaperLace,1974,4/4,2,3
Hair,TheCowsills,1969,4/4,5,5
Press,PaulMcCartney,1986,4/4,8,2
IWantToWalkYouHome,FatsDomino,1959,12/8,14,1
WalkingInMemphis,MarcCohn,1991,4/4,0,2
RescueMe,FontellaBass,1965,4/4,11,4
AVerySpecialLoveSong,CharlieRich,1974,4/4,6,0
SoulAndInspiration,TheRighteousBrothers,1966,4/4,13,2
TheWaysOfAWomanInLove,JohnnyCash,1958,4/4,1,4
LastDate,FloydCramer,1960,4/4,1,4
HeyBaby,BruceChannel,1962,4/4,7,0
EverybodyLovesMebutYou,BrendaLee,1962,12/8,12,5
HungryEyes,EricCarmen,1988,4/4,9,0
AlmostGrown,ChuckBerry,1959,4/4,14,1
MyWay,ElvisPresley,1978,4/4,3,0
CatchMyFall,BillyIdol,1985,4/4,4,0
"You'reTheFirst,TheLast,MyEverything",BarryWhite,1974,4/4,8,0
IDon'tLoveYouAnymore,TeddyPendergrass,1977,4/4,6,5
StraightFromTheHeart,TheAllmanBrothers,1981,4/4,1,3
ThemeFromTheDukesOfHazzard,WaylonJennings,1980,4/4,1,4
TrueColors,CyndiLauper,1986,4/4,6,4
September,"Earth,Wind&Fire",1979,4/4,1,4
We'reAllAlone,RitaCoolidge,1977,4/4,8,0
YouTookTheWordsRightOutOfMyMouth,MeatLoaf,1978,4/4,13,4
OnTheWingsOfANightingale,TheEverlyBrothers,1984,4/4,1,4
UnskinnyBop,Poison,1990,4/4,10,1
Let'sGetSerious,JermaineJackson,1980,4/4,1,4
SuperFreakPartOne,RickJames,1981,4/4,12,5
CaliforniaNights,LeslieGore,1967,4/4,8,0
BigIron,MartyRobbins,1960,4/4,8,1
BlueJean,DavidBowie,1984,4/4,10,1
MercyMercyMe(TheEcology),MarvinGaye,1971,4/4,7,0
JustLikeJesseJames,Cher,1989,4/4,14,2
ICriedATear,LaVernBaker,1959,12/8,1,4
LovelyDay,BillWithers,1978,4/4,0,2
50WaysToLeaveYourLover,PaulSimon,1976,4/4,1,4
JustAFriend,BizMarkie,1990,4/4,9,3
JourneyToTheCenterOfTheMind,TheAmboyDukes,1968,4/4,11,2
TryingToLiveMyLifeWithoutYou,BobSeger&TheSilverBulletBand,1981,4/4,1,4
SexyEyes,Dr.Hook,1980,4/4,7,0
GoodMorningStarshine,Oliver,1969,4/4,9,3
SweetLove,AnitaBaker,1986,4/4,11,4
Surfin'Safari,TheBeachBoys,1962,4/4,9,3
BornToBeWild,Steppenwolf,1968,4/4,3,1
GoodbyeYellowBrickRoad,EltonJohn,1973,4/4,0,2
IfICouldTurnBackTime,Cher,1989,4/4,9,3
BurningDownTheHouse,TalkingHeads,1983,4/4,3,1
IGotMyMindSetOnYou,GeorgeHarrison,1988,4/4,11,2
SweetSurrender,Bread,1972,4/4,6,2
"Liar,Liar",TheCastaways,1965,4/4,14,1
BadMoonRising,CreedenceClearwaterRevival,1969,4/4,14,1
ISawHerStandingThere,TheBeatles,1964,4/4,1,4
ILikeTheWay(TheKissingGame),Hi-Five,1991,4/4,12,3
GetUp(IFeelLikeBeingLikeA)SexMachine(Part1),JamesBrown,1970,4/4,3,1
MakeALittleMagic,NittyGrittyDirtBand,1980,4/4,11,2
You'veGotAnotherThingComin',JudasPriest,1982,4/4,10,4
Elvira,OakRidgeBoys,1981,4/4,1,4
Don'tTalkToStrangers,RickSpringfield,1982,4/4,3,5
SecretLove,FreddyFender,1975,4/4,2,3
SheThinksIStillCare,ElvisPresley,1977,4/4,1,4
WalkThisWay,Run-D.M.C.,1986,4/4,3,1
One,Metallica,1989,4/4,5,5
DanceHallDays,WangChung,1984,4/4,14,1
MeMyselfAndI,DeLaSoul,1989,4/4,4,4
DontYouKnowWhatTheNightCanDo,SteveWinwood,1988,4/4,12,5
Let'sGoGetStoned,RayCharles,1966,4/4,0,2
HappyJack,TheWho,1967,4/4,11,2
War,EdwinStarr,1970,4/4,3,5
OnAndOnAndOn,Abba,1981,4/4,3,1
ADreamGoesOnForever,ToddRundgren,1974,4/4,8,0
ICan'tStandIt,EricClapton,1981,4/4,14,1
IWishItWouldRain,TheTemptations,1968,4/4,14,1
CountryRoad,JamesTaylor,1971,4/4,10,3
HoneyHoney,ABBA,1974,4/4,1,2
TillTheEndOfTheDay,TheKinks,1966,4/4,12,5
TeachYourChildren,"Crosby,Stills&Nash",1970,4/4,1,4
GirlYouKnowItsTrue,MilliVanilli,1989,4/4,5,5
IfNotYou,Dr.Hook,1977,4/4,9,2
SweetCaroline(GoodTimesNeverSeemedSoGood),BobbyWomack,1972,4/4,1,4
ALoveSong,AnneMurray,1974,4/4,2,3
HotInTheCity,BillyIdol,1982,4/4,0,2
TheBestDiscoInTown,TheRitchieFamily,1976,4/4,0,2
Perfidia,TheVentures,1960,4/4,9,0
"OutOfSight,OutOfMind",LittleAnthony&TheImperials,1969,4/4,9,3
MonyMony,TommyJames,1968,4/4,1,4
DirtyWater,RockAndHyde,1987,4/4,14,1
TreatHerLikeALady,CorneliusBrothers&SisterRose,1971,4/4,3,1
EleanorRigby,RayCharles,1968,4/4,3,1
CryLikeABaby,TheBoxTops,1968,4/4,14,1
LikeARock,BobSeger,1986,4/4,3,1
IFoundATrueLove,WilsonPickett,1968,4/4,1,4
StartingOverAgain,DollyParton,1980,4/4,4,3
RidersOnTheStorm,TheDoors,1971,4/4,12,5
ISecondThatEmotion,TheMiracles,1968,4/4,14,1
Fakinit,Simon&Garfunkel,1967,4/4,6,0
TheTwist,ChubbyChecker,1962,4/4,14,1
AllIEverNeedIsYou,Sonny&Cher,1971,4/4,8,0
Feelin'Satisfied,Boston,1979,4/4,10,1
EyeInTheSky,TheAllanParsonsProject,1982,4/4,12,5
MissYou,TheRollingStones,1978,4/4,3,1
TakeAChanceOnMe,Abba,1978,4/4,0,2
TheStroke,BillySquier,1981,4/4,6,5
HelloHello,TheSopwithCamel,1967,4/4,1,2
SweetSoulMusic,ArthurConley,1967,4/4,14,1
Breezin',GeorgeBenson,1976,4/4,7,0
ComingOnStrong,BrendaLee,1966,4/4,0,2
Don'tAskMeWhy,BillyJoel,1980,4/4,8,3
ModernLove,DavidBowie,1983,4/4,13,1
LittleTooLate,PatBenatar,1983,4/4,11,4
Kokomo(FromTheCocktailSoundtrack),TheBeachBoys,1988,4/4,7,0
TheLookOfLove,IsaacHayes,1971,4/4,12,5
KarmaChameleon,CultureClub,1984,4/4,9,0
Venus,Bananarama,1986,4/4,1,4
HelloStranger,BarbaraLewis,1963,4/4,2,3
DancingMachine,TheJacksons,1974,4/4,3,1
YouMakeMeFeelLikeDancing,LeoSayer,1977,4/4,7,0
ShapesOfThings,TheYardbirds,1966,4/4,4,4
TheBitchIsBack,EltonJohn,1974,4/4,1,4
Nightshift,TheCommodores,1985,4/4,9,2
ThereGoesMyEverything,ElvisPresley,1971,3/4,6,4
Gloria,LauraBranigan,1982,4/4,1,4
Freeze-Frame,J.GeilsBand,1982,4/4,10,1
BabyComeBack,Player,1978,4/4,10,5
ThreeHeartsInATangle,RoyDrusky,1961,3/4,1,4
TheMillionaire,Dr.Hook,1975,4/4,4,3
IDroveAllNight,CyndiLauper,1989,4/4,13,1
AllThisTime,Sting,1991,4/4,1,4
TimeWillReveal,Debarge,1984,4/4,8,0
PlayThatFunkyMusic,WildCherry,1976,4/4,3,5
InTheMidnightHour,WilsonPickett,1965,4/4,14,1
TheArmsOfOrion,Prince&SheenaEaston,1989,6/8,13,3
HeyYou!GetOffMyMountain,TheDramatics,1973,4/4,4,4
SoulDanceNumber3,WilsonPickett,1967,4/4,1,4
BabyWhatYouWantMeToDo,JimmyReed,1960,4/4,1,4
Lucky,GregKihn,1985,4/4,12,5
WeDontNeedAnotherHero(Thunderdome),TinaTurner,1985,4/4,4,2
DownAndOutInNewYorkCity,JamesBrown,1973,4/4,14,1
Goin'Back,TheByrds,1967,4/4,11,2
SugarMagnolia,TheGreatfulDead,1973,4/4,8,4
TownWithout,GenePitney,1961,12/8,11,4
GirlImGonnaMissYou,MilliVanilli,1989,4/4,6,4
LayDownSally,EricClapton,1978,4/4,11,2
ItKeepsRightOnA-Hurtin',JohnnyTillotson,1962,4/4,1,4
OhMeOhMy(I'mAFoolForYouBaby),ArethaFranklin,1972,4/4,11,2
IsThereSomethingIShouldKnow,DuranDuran,1983,4/4,12,5
I'vePassedThisWayBefore,JimmyRuffin,1967,4/4,11,2
CountOnMe,JeffersonStarship,1978,4/4,9,0
Jamie,EddieHolland,1962,4/4,0,2
HookedOnAFeeling,B.J.Thomas,1968,4/4,8,4
MyKindaLover,BillySquier,1982,4/4,0,2
AnotherBrickInTheWall(PartII),PinkFloyd,1980,4/4,3,5
Heartbreaker,PatBenatar,1980,4/4,12,5
IWalkAlone,MartyRobbins,1968,12/8,1,4
MyWishCameTrue,ElvisPresley,1959,4/4,2,3
AfterTheLoveHasGone,"Earth,Wind&Fire",1979,4/4,0,2
Ain'tNoSunshine,BillWithers,1971,4/4,14,1
I'veBeenEverywhere,HankSnow,1962,6/8,1,4
BestOfMyLove,Eagles,1975,4/4,6,4
TuffEnuff,TheFabulousThunderbirds,1986,4/4,3,1
ThisLittleGirl,Dion,1963,4/4,0,2
SadEyes,RobertJohn,1979,4/4,3,1
MyHometown,BruceSpringsteen,1985,4/4,1,4
MustOfGotLost,TheJ.GeilsBand,1974,4/4,14,3
EveryTimeIThinkOfYou,TheBabys,1979,4/4,3,1
RockAndRollNeverForgets,BobSeger,1977,4/4,6,4
BeMyGuest,FatsDomino,1959,4/4,1,4
DevilWoman,CliffRichard,1976,4/4,12,5
CanWeStillBeFriends,ToddRundgren,1978,4/4,5,5
There'llNeverBe,Switch,1978,4/4,8,0
TakeMeDown,Alabama,1982,4/4,6,4
MakeMeSmile,Chicago,1970,4/4,10,1
Don'tLeaveMeThisWay,ThelmaHouston,1977,4/4,12,5
ThereButForFortune,JoanBaez,1965,4/4,8,0
WhoWillYouRunTo,Heart,1987,4/4,14,1
There'sNoOther(LikeMyBaby),TheCrystals,1961,12/8,0,2
Look-KaPyPy,TheMeters,1970,4/4,12,5
(Iwas)BornToCry,Dion,1962,4/4,1,4
RockThisTown,StrayCats,1982,4/4,6,4
WhatYouSeeIsWhatYouGet,TinaTurner,1987,4/4,11,2
BustAMove,YoungMC,1990,4/4,3,1
"Ob-La-Di,Ob-La-Da",TheBeatles',1976,4/4,8,4
Reelin'&Rockin',ChuckBerry,1972,4/4,1,4
LandOf1000Dances,ChrisKenner,1963,4/4,1,4
NeverKnewLoveLikeThisBefore,StephanieMills,1980,4/4,9,0
LonelyWeekends,CharlieRich,1960,4/4,3,1
WichitaLineman,GlenCampbell,1969,4/4,13,1
EbonyEyes,TheEverlyBrothers,1961,3/4,1,4
FunnyGirl,BarbraStreisand,1964,4/4,2,0
WillTheWolfSurvive,LosLobos,1985,4/4,14,1
AHazyShadeOfWinter,SimonAndGarfunel,1966,4/4,12,5
CarryMe,"DavidCrosby,GrahamNash",1975,4/4,14,1
TreatHerRight,RoyHead,1965,4/4,14,1
InvisibleTouch,Genesis,1986,4/4,0,2
OneLessBellToAnswer,The5thDimension,1971,4/4,6,1
MightyGoodLovin',TheMiracles,1961,4/4,14,1
LovingHerWasEasier,KrisKristofferson,1971,4/4,3,1
TornBetweenTwoLovers,MaryMacGregor,1976,4/4,7,0
AreYouSureHankDoneItThisWay,WaylonJennings,1975,4/4,3,1
OhFather,Madonna,1990,4/4,10,1
TalkBackTremblingLips,JohnnyTillotson,1963,4/4,1,3
HardDaysNight,TheBeatles,1964,4/4,1,4
ILoveARainyNight,EddieRabbitt,1981,4/4,11,4
TellMeWhatYouWantMeToDo,TevinCampbell,1991,4/4,4,3
"Abraham,MartinAndJohn",Dion,1968,4/4,14,1
ACowboy'sWorkIsNeverDone,Sonny&Cher,1972,4/4,4,4
IDontWantYourLove,DuranDuran,1989,4/4,10,1
GoingToChicagoBlues,CountBasie,1958,4/4,1,4
TheSoundsOfSilence,Simon&Garfunkel,1965,4/4,4,4
ThinkOfMe,BuckOwens,1966,4/4,11,2
RunningOnEmpty,JacksonBrowne,1978,4/4,14,1
IGotStripes,JohnnyCash,1959,4/4,4,4
Daddy'sHome,CliffRichard,1982,4/4,7,0
MyLove,PaulMcCartney&Wings,1973,4/4,6,0
TenPercent,DoubleExposure,1976,4/4,4,3
RebelYell,BillyIdol,1984,4/4,12,5
OdeToBillieJoe,BobbieGentry,1976,4/4,3,1
"RightHere,RightNow",JesusJones,1991,4/4,1,4
SummertimeBlues,BlueCheer,1968,4/4,11,4
NightMoves,BobSeger,1977,4/4,12,5
LiveToTell,Madonna,1986,4/4,12,5
HappyAnniversary,LittleRiverBand,1978,4/4,3,1
AgainstTheWind,BobSeger,1980,4/4,13,1
IWantYouBack,TheJacksons,1969,4/4,2,3
LuckyMan,"Emerson,Lake&Palmer",1971,4/4,4,4
Kicks,PaulRevere&TheRaiders,1966,4/4,5,5
MyWorldFellDown,Sagittarius,1967,4/4,7,0
ManInTheMirror,MichaelJackson,1988,4/4,14,1
OnlySixteen,Dr.Hook,1976,4/4,9,0
StandingInTheShadowsOfLove,FourTops,1967,4/4,5,5
She'sAWoman,TheBeatles,1964,4/4,14,1
TheYearThatClaytonDelaneyDied,TomT.Hall,1971,4/4,1,4
IWon'tStandInYourWay,StrayCats,1983,12/8,12,5
EchoesOfLove,TheDoobieBrothers,1977,4/4,11,2
ThreeTimesALady,TheCommodores,1978,3/4,6,0
IslandOfLostSouls,Blondie,1982,4/4,0,2
EvenNow,BobSeger,1983,4/4,6,4
LoversWhoWander,Dion,1962,4/4,0,2
YouDon'tOwnMe,LesleyGore,1964,4/4,0,2
BabyDon'tGo,Sonny&Cher,1965,4/4,3,1
IDon'tWantToSpoilTheParty,TheBeatles,1965,4/4,4,3
BehindClosedDoors,CharlieRich,1973,4/4,2,3
GetReady,RareEarth,1970,4/4,3,1
I'llTumble4Ya,CultureClub,1983,4/4,6,3
I'veGotATigerByTheTail,BuckOwens,1965,4/4,11,2
SaturdayNight,BayCityRollers,1975,4/4,13,2
HeavenMustHaveSentYou,BonniePointer,1979,4/4,0,2
Amanda,Boston,1986,4/4,13,4
WillYouLoveMeTomorrow,TheShirelles,1961,4/4,0,2
AliveAgain,Chicago,1978,4/4,1,4
Help!,TheBeatles,1965,4/4,0,2
PaperRoses,MarieOsmond,1973,4/4,7,0
HappyMan,GregKihnBand,1982,4/4,6,1
20-75,WillieMitchell,1964,4/4,1,3
That'sOldFashioned(That'sTheWayLoveShouldBe),TheEverlyBrothers,1962,4/4,9,3
Rock'nMe,SteveMillerBand,1976,4/4,3,1
AllAloneAmI,BrendaLee,1962,6/8,2,3
Abacab,Genesis,1982,4/4,12,5
Lovin'You,MinnieRiperton,1975,4/4,6,1
Lady,KennyRogers,1980,4/4,11,5
ElCondorPasa,Simon&Garfunkel,1970,4/4,3,1
IfIWereACarpenter,BobbyDarin,1966,4/4,10,1
"RockandRoll,HoochieKoo",RickDerringer,1974,4/4,1,4
Frankenstein,EdgarWinter,1973,4/4,1,4
WhoWearsTheseShoes,EltonJohn,1984,4/4,1,4
Lambada,Kaoma,1990,4/4,5,5
SidewalkSurfin',Jan&Dean,1964,4/4,1,4
WeDon'tTalkAnymore,CliffRichard,1979,4/4,13,1
BabyDontForgetMyNumber,MilliVanilli,1989,4/4,12,5
AmericanStorm,BobSeger,1986,4/4,2,3
LetTheMusicPlay,Shannon,1984,4/4,5,5
WhenIt'sLove,VanHalen,1988,4/4,1,4
CrackerboxPalace,GeorgeHarrison,1977,4/4,14,1
UpsideDown,DianaRoss,1980,4/4,12,5
Sukiyaki,ATasteOfHoney,1981,4/4,11,1
JohnnyReb,JohnnyHorton,1959,4/4,1,4
ThereSheGoes,TheLas,1991,4/4,6,2
HappyTogether,TheTurtles,1967,4/4,12,5
He'sSoFine,TheChiffons,1963,4/4,2,3
